Country Name,2018,2019,2020,2021,2022
Japan,177470,183953,87584,87584,99994
Portugal,10177,43656,40535,27295,9999
Israel,15615,16132,16569,16856,9999
Ireland,33647,29113,15320,15320,9999
United States,1200796,1158444,675560,561580,998540
Russian Federation,336527,333509,340711,320617,942445
Romania,-57865,-25453,-12724,-12724,916813
Channel Islands,2353,1566,1362,1242,900
Djibouti,1435,1322,744,742,900
Malta,11180,11247,10854,10408,850
Panama,11130,10623,5473,5473,7967
Syrian Arab Republic,513647,500572,270006,212187,734304
France,14391,17403,18335,20614,66601
Brazil,67934,69186,56880,20376,6425
Hungary,31976,33559,9042,19870,616038
Cote d'Ivoire,-17190,-15520,-12301,-21000,6000
Belize,1185,1164,0,577,600
South Africa,27265,22728,30852,10934,58496
Italy,75863,21615,28021,28021,58496
Luxembourg,10096,10365,6952,6949,5222
Curacao,25591,-9592,997,502,515
Greece,-23600,-21581,-17853,-14806,5000
Cyprus,4977,4948,2999,1995,5000
"Macao SAR, China",8219,8578,8441,4004,5000
New Caledonia,-2386,-2336,-1182,-1182,500
Malaysia,60604,60824,57483,46165,48997
Moldova,-36088,-28328,-14278,-14278,462866
Slovak Republic,3752,3378,1746,1746,425001
Equatorial Guinea,15583,14695,0,6486,4000
Cayman Islands,1054,973,766,276,400
Switzerland,40899,43546,53786,23872,39998
Spain,339064,458942,208791,275022,39998
Sweden,81492,81585,81066,80097,39998
Argentina,4690,4478,2344,2344,3886
Costa Rica,4198,4154,2084,2084,3850
Iceland,6611,5152,2573,622,380
Isle of Man,272,239,235,517,340
Poland,-8736,-2974,-779,-2968,3366387
Belarus,15731,15082,13589,12961,30308
Botswana,3819,2933,1816,1816,3000
Mauritania,-2987,-3018,-1494,-1494,3000
Bhutan,291,291,291,291,300
Netherlands,60758,60266,58816,57439,29998
"Korea, Rep.",118642,110799,0,43440,29998
"Venezuela, RB",-1356759,-976460,-525142,-525116,297713
Saudi Arabia,253245,241172,-1025295,-153883,28998
Norway,18388,25564,10756,10604,27998
Singapore,35726,40624,21324,19321,26998
Canada,417974,391914,195181,195181,248586
Belgium,55439,54395,53428,52356,23999
Czechia,3193,4030,3621,3621,22011
Burundi,68145,14241,-10186,-14415,2000
Slovenia,7559,7427,7681,4568,2000
Turks and Caicos Islands,1403,1358,682,682,200
Andorra,1184,1238,1474,1377,200
British Virgin Islands,221,253,272,128,200
Monaco,416,416,206,206,200
St. Kitts and Nevis,-191,-191,-191,-90,20
"Hong Kong SAR, China",0,0,0,0,19999
Austria,35404,41105,20314,20314,19999
Denmark,23337,23305,23076,22746,19999
Thailand,9304,3758,35526,1133,18999
Puerto Rico,-17320,-16013,-7408,-7408,16702
