Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Afghanistan,AFG,..,..,281.659095177841,297.586989135739,268.663397353037,280.499616022612,294.234021395487,306.361182290885,319.258392395823,320.681395865271,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Albania,ALB,..,57.6003718075358,32.0719708195004,31.3096121794132,37.155209665803,36.5021801214989,36.6127665575214,40.3432306284307,40.5805456327064,45.9789808135344,50.8251120741635,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Algeria,DZA,9.60248235994714,53.2413517287196,3840.10116154342,3375.18950855842,3223.77349659788,2211.0204857404,1837.3205249796,1530.21695924047,1307.19219171445,1147.85223340217,761.79252457915,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Angola,AGO,..,12.2724084508782,71.0265504092648,57.6030457785385,47.790623890266,40.5018202697909,29.2097928383554,24.1534485788641,25.2174452600853,20.4089179249882,21.5052555636099,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Argentina,ARG,9.95883361771427,16.7610465477656,20.325454538875,20.4239839533001,14.4033765244417,21.1488846028631,24.4834910434702,23.8355092849214,15.9896683783995,15.4186965777139,16.0992359417003,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Armenia,ARM,..,30.8517994724099,25.9369520862327,17.4088735967411,20.1029241054578,22.3640247985952,22.6246288769631,21.0645038788923,23.9778537148483,20.7582114344864,23.373400410199,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
